"game_id","namagame","genre","deskripsi","tahun","gambar","popular","harga","usia"
"1","Grand Theft Auto V","Action , Adventure, Multiplayer, OpenWorld, Shooter, Simulation, Story
","Grand Theft Auto (GTA V) adalah permainan video aksi-petualangan yang dibuat oleh DMA Design dan diterbitkan oleh Rockstar Games. Permainan ini memungkinkan pemain untuk mengambil peran seorang penjahat yang dapat berkeliaran dengan bebas di sekitar kota besar.","2013","GTAV.jpg","1","150000","1"
"2","DOTA 2","Action, Competitive, Difficult, Fantasy, MOBA, Multiplayer, RPG, Strategy
","Dota 2 adalah sebuah permainan arena pertarungan daring multipemain, dan merupakan sekuel dari Defense of the Ancients mod pada Warcraft 3: Reign of Chaos dan Warcraft 3: The Frozen Throne.","2013","DOTA2.jpg","1","0","0"
"3","Apex Legends","Action, BattleRoyale, FPS, Multiplayer, Sci-fi, Survival
","Apex Legends adalah permainan battle royale free-to-play yang dikembangkan oleh Respawn Entertainment dan diterbitkan oleh Electronic Arts. Permainan ini berada di alam semesta yang sama dengan Titanfall.","2019","apex.jpg","0","0","0"
"4","Portal 2","Action, Adventure, FPS, Puzzle, Sci-fi, Story
","Portal merupakan game puzzle yang menggunakan portal untuk menyelesaikan puzzle pada setiap stage","2011","portal2.jpg","1","70000","0"
"5","Tekken 7","Action, Fighting, Multiplayer, Sports, Singleplayer
","Tekken 7 adalah sebuah permainan pertarungan yang dikembangkan dan dipublikasikan oleh Bandai Namco Entertainment. Permainan tersebut adalah sebuah installment dari seri Tekken, dan merupakan permainan pertama yang memakai Unreal Engine.","2015","Tekken.jpg","1","420000","0"
"6","Valheim","Action, Adventure, Craft, Multiplayer, Openworld, ...
Action, Adventure, Craft, Multiplayer, Openworld, RPG, Sandbox, Survival
","Valheim merupakan game survival bertahan hidup betemakan viking.","2021","valheim.jpg","0","98009","0"
"7","The Witcher 3","Action, Adventure, Fantasy, OpernWorld, RPG, SinglePlayer, Story
","action-RPG yang hampir sempurna di segala aspek, mulai dari grafis, gameplay, alur cerita, sampai penokohan karakter.","2015","witcher.jpg","1","359000","1"
"8","Sekiro","Action, Adventure, Assassin, Difficult, OpenWorld, Ninja, RPG, Singleplayer, Stealth, Story
","Sekiro: Shadows Die Twice adalah permainan video aksi-petualangan yang dikembangkan oleh FromSoftware dan diterbitkan oleh Activision.","2019","sekiro.jpg","1","729000","1"
"9","Warframe","Action, Multiplayer, Ninja, Parkour, RPG, Sci-fi, Shooter, Singleplayer, Thirdperson
","Warframe pada dasarnya memang merupakan game Co-op. Namun, game ini juga mampu menampilkan sisi kekompetitifan di antara playernya ketika berhasil bekerja sama dalam menyelesaikan suatu misi.","2013","warframe.jpg","1","0","0"
"10","Sea Of Thieves","Action, Adventrure, FPS, Multiplayer, OpenWorld, Pirates, Singleplayer
","Sea of Thieves adalah game petualangan para bajak laut yang diterbitkan oleh Microsoft untuk PC dan Xbox One.","2018","sot.jpg","0","127499","0"
"11","Fallout 4","Action, Adventure, FPS, Openworld, RPG, Sci-fi, Shooter, Story, Survival
","allout 4 adalah sebuah RPG yang dipadukan dengan sistem FPS dan dipenuhi dengan sangat banyak aktivitas. Cukup banyak untuk membuatmu duduk lama sampai bokongmu menyatu secara alami dengan kursi kesayanganmu","2015","fallout.jpg","0","266000","1"
"12","Monster Hunter World","Action, Adventure, Difficult, Fantasy, Hunting, MMORPG, Multiplayer, OpenWorld
","Monster Hunter: World, mengisahkan dunia fantasi New World yang penuh monster. Sesuai judulnya, pemain sebagai Hunter atau pemburu dari Old World, tempat tinggal manusia yang sudah sangat padat. Tugas utamanya adalah menangkap atau melumpuhkan monster yang ditemui.","2018","monster.jpg","0","221099","0"
"13","Arma III","Action, Adventure, FPS, Multiplater, Shooter, Simulation,
Singleplayer, Strategy","ARMA 3 merupakan game perang dan tactical FPS yang dikembangkan oleh Bohemia Interactive, perusahaan game asal Ceko yang juga memproduksi game DayZ. ARMA 3 dirilis sejak bulan September 2013 dan dapat dimainkan melalui platform PC (download via Steam).","2013","arma.jpg","0","99999","0"
"14","Destiny 2","Action , Adventure, FPS, MMORPG
","Destiny 2 adalah game penembak orang pertama multipemain online-saja yang dikembangkan oleh Bungie. Awalnya dirilis sebagai game berbayar untuk bermain pada tahun 2017 untuk platform PlayStation 4, Xbox One, dan Microsoft Windows.","2017","destiny.jpg","0","0","0"
